1219009041	FIDEA	700015	10942556.75	10942556.75
0120009041	FIDEA	700015	19761533.82	19761533.82
0220009041	FIDEA	700015	25168131.63	25168131.63
0320009041	FIDEA	700015	21495566.64	21495566.64
0420009041	FIDEA	700015	10257895.23	10257895.23
0520009041	FIDEA	700015	6640869.44	6640869.44
0620009041	FIDEA	700015	9995845.94	9995845.94
0720009041	FIDEA	700015	8095109.19	8095109.19
0820009041	FIDEA	700015	7692778.97	7692778.97
0920009041	FIDEA	700015	7151945.18	7151945.18
1020009041	FIDEA	700015	20770900.37	20770900.37
1120009041	FIDEA	700015	20036505.35	20036505.35
1220009041	FIDEA	700015	19521900.27	19521900.27
0121009041	FIDEA	700015	1235429.34	1235429.34
0121009044	FIDEA	700015	864549.61	864549.61
0121009052	FIDEA	700015	1724936.05	1724936.05
1220009057	FIDEA	700015	17090903.41	17090903.41
